2022-11-10 00:35:59 status half-configured php8.1:all 8.1.2-1ubuntu2.8
2022-11-10 00:35:59 status installed php8.1:all 8.1.2-1ubuntu2.8
2022-11-10 00:36:02 startup archives unpack
2022-11-10 00:36:02 upgrade libpixman-1-0:amd64 0.40.0-1build4 0.40.0-1ubuntu0.22.04.1
2022-11-10 00:36:02 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2022-11-10 00:36:02 status half-configured libpixman-1-0:amd64 0.40.0-1build4
2022-11-10 00:36:02 status unpacked libpixman-1-0:amd64 0.40.0-1build4
2022-11-10 00:36:02 status half-installed libpixman-1-0:amd64 0.40.0-1build4
2022-11-10 00:36:02 status unpacked libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2022-11-10 00:36:02 startup packages configure
2022-11-10 00:36:02 configure libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1 <none>
2022-11-10 00:36:02 status unpacked libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2022-11-10 00:36:02 status half-configured libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2022-11-10 00:36:02 status installed libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2022-11-10 00:36:02 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2022-11-10 00:36:02 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2022-11-10 00:36:03 status installed libc-bin:amd64 2.35-0ubuntu3.1
2022-11-10 00:36:05 startup archives unpack
2022-11-10 00:36:06 upgrade libtiff5:amd64 4.3.0-6ubuntu0.1 4.3.0-6ubuntu0.2
2022-11-10 00:36:06 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2022-11-10 00:36:06 status half-configured libtiff5:amd64 4.3.0-6ubuntu0.1
2022-11-10 00:36:06 status unpacked libtiff5:amd64 4.3.0-6ubuntu0.1
2022-11-10 00:36:06 status half-installed libtiff5:amd64 4.3.0-6ubuntu0.1
2022-11-10 00:36:06 status unpacked libtiff5:amd64 4.3.0-6ubuntu0.2
2022-11-10 00:36:06 startup packages configure
2022-11-10 00:36:06 configure libtiff5:amd64 4.3.0-6ubuntu0.2 <none>
2022-11-10 00:36:06 status unpacked libtiff5:amd64 4.3.0-6ubuntu0.2
2022-11-10 00:36:06 status half-configured libtiff5:amd64 4.3.0-6ubuntu0.2
2022-11-10 00:36:06 status installed libtiff5:amd64 4.3.0-6ubuntu0.2
2022-11-10 00:36:06 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2022-11-10 00:36:06 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2022-11-10 00:36:06 status installed libc-bin:amd64 2.35-0ubuntu3.1
2022-11-11 09:52:53 startup archives unpack
2022-11-11 09:52:53 upgrade thunderbird-locale-ar:amd64 1:102.2.2+build1-0ubuntu0.22.04.1 1:102.4.2+build2-0ubuntu0.22.04.1
2022-11-11 09:52:53 status half-configured thunderbird-locale-ar:amd64 1:102.2.2+build1-0ubuntu0.22.04.1
2022-11-11 09:52:53 status unpacked thunderbird-locale-ar:amd64 1:102.2.2+build1-0ubuntu0.22.04.1
2022-11-11 09:52:53 status half-installed thunderbird-locale-ar:amd64 1:102.2.2+build1-0ubuntu0.22.04.1
2022-11-11 09:52:53 status unpacked thunderbird-locale-ar:amd64 1:102.4.2+build2-0ubuntu0.22.04.1
2022-11-11 09:52:53 upgrade thunderbird-locale-en:amd64 1:102.2.2+build1-0ubuntu0.22.04.1 1:102.4.2+build2-0ubuntu0.22.04.1
2022-11-11 09:52:53 status half-configured thunderbird-locale-en:amd64 1:102.2.2+build1-0ubuntu0.22.04.1
2022-11-11 09:52:53 status unpacked thunderbird-locale-en:amd64 1:102.2.2+build1-0ubuntu0.22.04.1
2022-11-11 09:52:53 status half-installed thunderbird-locale-en:amd64 1:102.2.2+build1-0ubuntu0.22.04.1
2022-11-11 09:52:53 status unpacked thunderbird-locale-en:amd64 1:102.4.2+build2-0ubuntu0.22.04.1
2022-11-11 09:52:53 upgrade thunderbird:amd64 1:102.2.2+build1-0ubuntu0.22.04.1 1:102.4.2+build2-0ubuntu0.22.04.1
